Date,Power (kW),Power_second_derivative (kW),Power-1 (kW),Power_week (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday
2017-11-11 04:00:00,88.489786,-1.5146005999999943,89.7436172,92.1163133,13.206666666666665,66.8475,2.857333333333333,0.0,1
2017-11-11 05:00:00,85.7213542,2.3782322000000136,88.489786,90.1191175,12.520000000000001,69.95,2.7765,0.0,1
2017-11-11 06:00:00,85.3311546,11.30796149999999,85.7213542,90.0944914,11.777500000000002,74.49249999999999,2.64025,0.0,1
2017-11-11 07:00:00,96.2489165,-3.4056560000000076,85.3311546,96.5335484,12.419166666666667,69.43083333333333,35.97808333333333,0.0,1
2017-11-11 08:00:00,103.7610224,4.3330482000000075,96.2489165,100.5552387,13.896666666666667,63.07083333333333,183.8166666666667,0.0,1
2017-11-11 09:00:00,115.6061765,3.258090299999992,103.7610224,107.0506112,14.985833333333334,60.18833333333333,345.09999999999997,0.0,1
2017-11-11 10:00:00,130.7094209,-5.654267099999998,115.6061765,117.4380529,16.209999999999997,58.240833333333335,474.2416666666666,0.0,1
2017-11-11 11:00:00,140.1583982,-11.8592807,130.7094209,114.4124788,18.059166666666666,53.84166666666667,553.4666666666667,0.0,1
2017-11-11 12:00:00,137.7480948,-6.6610736999999745,140.1583982,116.9831382,17.849166666666665,54.410833333333336,568.5749999999999,0.0,1
2017-11-11 13:00:00,128.6767177,-3.5702118000000382,137.7480948,131.6912196,18.923333333333336,49.45166666666666,525.2583333333333,0.0,1
2017-11-11 14:00:00,116.0351288,16.666906300000022,128.6767177,115.1963142,19.295833333333334,46.163333333333334,432.0083333333334,0.0,1
2017-11-11 15:00:00,120.0604462,-7.595720100000008,116.0351288,123.4256314,19.151666666666667,47.40166666666667,295.18333333333334,0.0,1
2017-11-11 16:00:00,116.4900435,1.6027964000000026,120.0604462,119.9493424,17.968333333333334,53.145833333333336,131.56833333333333,0.0,1
2017-11-11 17:00:00,114.5224372,0.3789364999999947,116.4900435,122.0452335,15.893333333333333,61.365,12.615166666666667,0.0,1
2017-11-11 18:00:00,112.9337674,-5.7304361999999855,114.5224372,119.1792518,14.198333333333332,64.94500000000001,2.801083333333333,0.0,1
2017-11-11 19:00:00,105.6146614,10.249420999999984,112.9337674,108.6196183,13.4525,64.615,2.7735,0.0,1
2017-11-11 20:00:00,108.5449764,-15.860544699999991,105.6146614,108.2065107,13.116666666666667,63.71083333333333,2.7576666666666667,0.0,1
2017-11-11 21:00:00,95.6147467,10.501790799999995,108.5449764,100.1719115,13.1775,61.306666666666665,2.7303333333333337,0.0,1
2017-11-11 22:00:00,93.1863078,1.447022000000004,95.6147467,96.144876,13.045833333333334,59.449999999999996,2.7557500000000004,0.0,1
2017-11-11 23:00:00,92.2048909,0.15252910000000952,93.1863078,93.3709081,12.770833333333334,62.40166666666667,2.8388333333333335,0.0,1
2017-11-12 00:00:00,91.3760031,2.307980999999984,92.2048909,94.0022144,12.556666666666667,64.86916666666667,2.7396666666666665,0.0,1
2017-11-12 01:00:00,92.8550963,-1.754370999999992,91.3760031,92.2585338,12.513333333333334,66.38000000000001,2.7579999999999996,0.0,1
2017-11-12 02:00:00,92.5798185,-1.0415504000000055,92.8550963,92.1394122,12.101666666666667,72.25583333333333,2.4419166666666667,0.0,1
2017-11-12 03:00:00,91.2629903,0.3495379000000014,92.5798185,90.7716137,12.246666666666668,72.8,2.582666666666667,0.0,1
2017-11-12 04:00:00,90.2957,-3.1422139999999956,91.2629903,89.5294274,12.270833333333334,72.63333333333334,2.5018333333333334,0.0,1
2017-11-12 05:00:00,86.1861957,2.8890805999999998,90.2957,88.2122174,12.152500000000002,76.44166666666666,2.4856666666666665,0.0,1
2017-11-12 06:00:00,84.965772,4.108931599999991,86.1861957,86.7524051,12.173333333333332,76.97500000000001,2.425666666666667,0.0,1
2017-11-12 07:00:00,87.8542799,-6.500335899999982,84.965772,84.6561322,12.398333333333333,74.89166666666667,31.953166666666664,0.0,1
2017-11-12 08:00:00,84.2424519,6.496708799999979,87.8542799,85.2112694,13.133333333333333,71.38083333333334,177.775,0.0,1
2017-11-12 09:00:00,87.1273327,2.0363303000000172,84.2424519,87.6043918,14.17,65.9025,339.28333333333336,0.0,1
2017-11-12 10:00:00,92.0485438,-4.40215400000001,87.1273327,90.9252882,14.3925,64.55083333333333,467.95,0.0,1
2017-11-12 11:00:00,92.5676009,0.2542787999999945,92.0485438,91.4575174,15.346666666666666,60.839166666666664,546.6999999999999,0.0,1
2017-11-12 12:00:00,93.3409368,-0.5448285999999882,92.5676009,93.535273,15.771666666666667,58.645833333333336,569.2833333333333,0.0,1
2017-11-12 13:00:00,93.5694441,4.730120200000002,93.3409368,94.9800042,16.609166666666667,54.92916666666667,530.6916666666667,0.0,1
2017-11-12 14:00:00,98.5280716,-1.355390000000014,93.5694441,99.0358656,16.77,52.935,437.5416666666667,0.0,1
2017-11-12 15:00:00,102.1313091,0.12904840000001627,98.5280716,101.1346202,15.790833333333333,57.54749999999999,297.59166666666664,0.0,1
2017-11-12 16:00:00,105.863595,5.494865599999983,102.1313091,102.8000318,14.611666666666666,61.223333333333336,130.965,0.0,1
2017-11-12 17:00:00,115.0907465,-7.995082899999986,105.863595,105.3777545,13.780833333333334,62.98833333333334,11.116583333333333,0.0,1
2017-11-12 18:00:00,116.3228151,-3.260190200000011,115.0907465,102.9815777,13.416666666666666,64.68916666666667,2.3928333333333334,0.0,1
2017-11-12 19:00:00,114.2946935,-0.7569184999999834,116.3228151,102.2147324,13.308333333333332,68.54166666666667,2.17375,0.0,1
2017-11-12 20:00:00,111.5096534,1.6495668999999822,114.2946935,97.150919,13.189166666666667,72.72500000000001,2.8362499999999997,0.0,1
2017-11-12 21:00:00,110.3741802,0.23079810000001544,111.5096534,92.3240125,13.366666666666667,74.00833333333334,2.6125000000000003,0.0,1
2017-11-12 22:00:00,109.4695051,-1.1568540000000098,110.3741802,93.9228,13.8575,73.09166666666667,2.8085,0.0,1
2017-11-12 23:00:00,107.407976,-8.718593900000002,109.4695051,92.0479711,14.019166666666665,73.21666666666667,3.0875,0.0,1
2017-11-13 00:00:00,96.627853,11.005766800000004,107.407976,91.9406853,14.030833333333334,74.98333333333333,2.769166666666667,0.0,0
2017-11-13 01:00:00,96.8534968,-1.085266500000003,96.627853,93.0062891,14.028333333333334,75.8,2.3354166666666667,0.0,0
2017-11-13 02:00:00,95.9938741,0.046006900000008955,96.8534968,93.7954697,13.875,77.13333333333334,2.5037499999999997,0.0,0
2017-11-13 03:00:00,95.1802583,2.4435199999999924,95.9938741,91.603365,13.94,75.78333333333333,3.2376666666666662,0.0,0
2017-11-13 04:00:00,96.8101625,1.4285046999999906,95.1802583,93.7235004,13.510833333333332,75.98333333333333,2.77375,0.0,0
2017-11-13 05:00:00,99.8685714,3.1687491000000136,96.8101625,101.2062077,13.335,77.01666666666667,2.7460833333333334,0.0,0
2017-11-13 06:00:00,106.0957294,46.75102819999999,99.8685714,108.9781285,13.17,78.29166666666667,2.9215,0.0,0
2017-11-13 07:00:00,159.0739156,9.586807100000001,106.0957294,160.4732126,13.236666666666666,75.80833333333334,31.10066666666667,0.0,0
2017-11-13 08:00:00,221.6389089,-18.432158600000008,159.0739156,211.2999558,13.665833333333333,70.0025,173.15,0.0,0
