Date,Power (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday,Power_second_derivative (kW),Power-1 (kW),Power_week (kW)
2019-03-30 17:00:00,123.326,18.4475,37.63166666666667,210.9,0.0,1,-4.4909999999999854,131.886,132.904
2019-03-30 18:00:00,110.275,17.3875,36.055,52.85225,0.0,1,12.813999999999979,123.326,131.012
2019-03-30 19:00:00,110.038,16.635833333333334,34.005,0.9596666666666668,0.0,1,-1.1859999999999928,110.275,132.016
2019-03-30 20:00:00,108.615,16.217499999999998,39.138333333333335,0.4615833333333333,0.0,1,-2.1229999999999905,110.038,125.538
2019-03-30 21:00:00,105.069,15.9325,38.1425,0.57225,0.0,1,0.769999999999996,108.615,123.428
2019-03-30 22:00:00,102.293,16.050833333333333,36.130833333333335,0.71525,0.0,1,0.41499999999999204,105.069,123.914
2019-03-30 23:00:00,99.932,15.443333333333332,44.10833333333333,0.8260833333333334,0.0,1,2.3470000000000084,102.293,122.579
2019-03-31 00:00:00,99.918,14.961666666666666,47.95,1.0476666666666663,0.0,1,0.11099999999999,99.932,127.471
2019-03-31 02:00:00,100.015,14.8575,42.76499999999999,0.8376666666666667,0.0,1,0.30400000000000205,99.918,125.928
2019-03-31 03:00:00,100.416,15.064166666666669,39.52833333333333,0.6483333333333333,0.0,1,-3.133999999999986,100.015,123.722
2019-03-31 04:00:00,97.683,14.170833333333334,48.23666666666667,1.1560833333333334,0.0,1,3.075999999999979,100.416,123.11
2019-03-31 05:00:00,98.026,13.590833333333334,51.126666666666665,1.0224166666666668,0.0,1,0.1670000000000158,97.683,120.854
2019-03-31 06:00:00,98.536,12.616666666666667,59.84,14.863083333333334,0.0,1,-3.2960000000000065,98.026,118.053
2019-03-31 07:00:00,95.75,12.745833333333332,60.40166666666667,121.61,0.0,1,2.8859999999999957,98.536,116.353
2019-03-31 08:00:00,95.85,14.289166666666668,53.835,315.01666666666665,0.0,1,-0.8859999999999957,95.75,114.578
2019-03-31 09:00:00,95.064,14.8625,51.3,628.275,0.0,1,0.7010000000000076,95.85,115.587
2019-03-31 10:00:00,94.979,16.715833333333332,44.373333333333335,716.5416666666666,0.0,1,4.867999999999995,95.064,118.036
2019-03-31 11:00:00,99.762,17.920833333333334,38.7675,861.0,0.0,1,-2.4210000000000065,94.979,117.493
2019-03-31 12:00:00,102.124,18.58333333333333,34.96333333333333,805.0,0.0,1,-2.258999999999986,99.762,119.127
2019-03-31 13:00:00,102.227,20.559166666666663,28.453333333333333,817.1666666666666,0.0,1,1.2519999999999811,102.124,119.363
2019-03-31 14:00:00,103.582,20.511666666666667,29.74,735.1666666666666,0.0,1,-0.333999999999989,102.227,120.355
2019-03-31 15:00:00,104.603,18.856666666666666,35.335,550.0666666666667,0.0,1,2.103999999999999,103.582,117.261
2019-03-31 16:00:00,107.728,17.9325,43.12416666666667,341.6166666666666,0.0,1,-2.911999999999992,104.603,121.427
2019-03-31 17:00:00,107.941,15.611666666666666,53.55583333333333,70.9525,0.0,1,-2.497000000000014,107.728,120.173
2019-03-31 18:00:00,105.657,14.138333333333334,60.63583333333333,14.283333333333331,0.0,1,4.072000000000003,107.941,120.463
2019-03-31 19:00:00,107.445,14.616666666666667,58.14166666666667,4.0175,0.0,1,-1.6629999999999967,105.657,120.84
2019-03-31 20:00:00,107.57,14.734166666666669,61.94833333333333,3.0041666666666664,0.0,1,-1.9549999999999983,107.445,127.833
